time,ciudad,temperatura
2024-11-16-00-00-00,Santo Domingo,22.16
2024-11-16-00-00-00,La Sábana,27.36
2024-11-16-00-00-00,Paraíso,24.80
2024-11-17-00-00-00,Santo Domingo,25.92
2024-11-17-00-00-00,La Sábana,24.78
2024-11-17-00-00-00,Paraíso,21.87
2024-11-18-00-00-00,Santo Domingo,24.87
2024-11-18-00-00-00,La Sábana,26.22
2024-11-18-00-00-00,Paraíso,24.23
2024-11-19-00-00-00,Santo Domingo,25.13
2024-11-19-00-00-00,La Sábana,23.76
2024-11-19-00-00-00,Paraíso,20.18
2024-11-20-00-00-00,Santo Domingo,23.43
2024-11-20-00-00-00,La Sábana,23.50
2024-11-20-00-00-00,Paraíso,21.92
2024-11-21-00-00-00,Santo Domingo,26.49
2024-11-21-00-00-00,La Sábana,23.67
2024-11-21-00-00-00,Paraíso,20.66
2024-11-22-00-00-00,Santo Domingo,23.81
2024-11-22-00-00-00,La Sábana,27.98
2024-11-22-00-00-00,Paraíso,23.13
2024-11-23-00-00-00,Santo Domingo,22.35
2024-11-23-00-00-00,La Sábana,27.46
2024-11-23-00-00-00,Paraíso,19.73
2024-11-24-00-00-00,Santo Domingo,24.61
2024-11-24-00-00-00,La Sábana,27.26
2024-11-24-00-00-00,Paraíso,22.45
2024-11-25-00-00-00,Santo Domingo,25.55
2024-11-25-00-00-00,La Sábana,25.92
2024-11-25-00-00-00,Paraíso,22.78
2024-11-26-00-00-00,Santo Domingo,22.16
2024-11-26-00-00-00,La Sábana,24.34
2024-11-26-00-00-00,Paraíso,22.58
2024-11-27-00-00-00,Santo Domingo,22.19
2024-11-27-00-00-00,La Sábana,26.85
2024-11-27-00-00-00,Paraíso,23.33
2024-11-28-00-00-00,Santo Domingo,24.40
2024-11-28-00-00-00,La Sábana,25.34
2024-11-28-00-00-00,Paraíso,24.63
2024-11-29-00-00-00,Santo Domingo,24.97
2024-11-29-00-00-00,La Sábana,25.38
2024-11-29-00-00-00,Paraíso,23.73
2024-11-30-00-00-00,Santo Domingo,24.67
2024-11-30-00-00-00,La Sábana,25.18
2024-11-30-00-00-00,Paraíso,19.61
2024-12-01-00-00-00,Santo Domingo,26.43
2024-12-01-00-00-00,La Sábana,27.12
2024-12-01-00-00-00,Paraíso,21.67
2024-12-02-00-00-00,Santo Domingo,22.34
2024-12-02-00-00-00,La Sábana,23.52
2024-12-02-00-00-00,Paraíso,19.61
2024-12-03-00-00-00,Santo Domingo,24.83
2024-12-03-00-00-00,La Sábana,27.97
2024-12-03-00-00-00,Paraíso,23.63
2024-12-04-00-00-00,Santo Domingo,22.68
2024-12-04-00-00-00,La Sábana,24.03
2024-12-04-00-00-00,Paraíso,21.29
2024-12-05-00-00-00,Santo Domingo,23.92
2024-12-05-00-00-00,La Sábana,25.74
2024-12-05-00-00-00,Paraíso,24.28
2024-12-06-00-00-00,Santo Domingo,23.70
2024-12-06-00-00-00,La Sábana,24.45
2024-12-06-00-00-00,Paraíso,22.00
2024-12-07-00-00-00,Santo Domingo,25.85
2024-12-07-00-00-00,La Sábana,25.65
2024-12-07-00-00-00,Paraíso,20.20
2024-12-08-00-00-00,Santo Domingo,26.06
2024-12-08-00-00-00,La Sábana,27.73
